year,percentage,gender,country_id,graduation_id
2017,11.3674,Male,44.0,GRD0613
2018,13.0446,Male,44.0,GRD0614
2019,13.1827,Male,44.0,GRD0615
2020,11.6856,Male,44.0,GRD0616
2021,11.0339,Male,44.0,GRD0617
2022,14.8987,Male,44.0,GRD0618
2023,17.8749,Male,44.0,GRD0619
2014,13.056,Male,167.0,GRD0620
2017,7.8203,Male,167.0,GRD0621
2022,7.0751,Male,167.0,GRD0622
2011,0.3049,Male,53.0,GRD0623
2012,0.1436,Male,53.0,GRD0624
2004,12.319,Male,135.0,GRD0625
2005,15.0716,Male,135.0,GRD0626
2006,15.1306,Male,135.0,GRD0627
2007,14.2218,Male,135.0,GRD0628
2008,17.7068,Male,135.0,GRD0629
2010,18.2329,Male,135.0,GRD0630
2011,17.2272,Male,135.0,GRD0631
2012,18.4137,Male,135.0,GRD0632
2017,35.4204,Male,135.0,GRD0633
2018,34.8906,Male,135.0,GRD0634
2019,32.8982,Male,135.0,GRD0635
2020,33.3799,Male,135.0,GRD0636
2021,40.8034,Male,135.0,GRD0637
2022,45.2889,Male,135.0,GRD0638
2015,57.185,Male,70.0,GRD0639
2016,67.1764,Male,70.0,GRD0640
2002,1.9324,Male,68.0,GRD0641
2007,1.6945,Male,68.0,GRD0642
2014,4.0994,Male,68.0,GRD0643
2015,3.8945,Male,68.0,GRD0644
2004,6.0161,Male,201.0,GRD0645
2005,3.6011,Male,201.0,GRD0646
2006,3.4766,Male,201.0,GRD0647
2007,1.4306,Male,201.0,GRD0648
2008,3.6112,Male,201.0,GRD0649
2009,3.3307,Male,201.0,GRD0650
2010,1.7005,Male,201.0,GRD0651
2011,2.3762,Male,201.0,GRD0652
2012,2.1531,Male,201.0,GRD0653
2003,16.5991,Male,116.0,GRD0654
2004,17.9475,Male,116.0,GRD0655
2005,17.745,Male,116.0,GRD0656
2006,18.0087,Male,116.0,GRD0657
2000,1.066,Male,54.0,GRD0658
2003,2.2852,Male,54.0,GRD0659
2012,6.1807,Male,54.0,GRD0660
2013,6.4624,Male,54.0,GRD0661
2014,7.1362,Male,54.0,GRD0662
2015,6.7682,Male,54.0,GRD0663
2016,7.5293,Male,54.0,GRD0664
